,,plant_ge,Alstromemeria,Hippeastrum,Leucocoryne,Leucocoryne,Nothoscordum,Rhodophiala,Tristagama,Tristagama,Tristagama,Berberis,Berberis,Cynoglossum,Trichocereus,Cerastium,Chaetanthera,Chaetanthera,Chuquiraga,Haplopappus,Haplopappus,Hypochoeris,Leuceria,Madia,Mustisia,Mustisia,Mustisia,Nardophyllum,Nassauvia,Perezia,Senecio,Senecio,Senecio,Senecio,Cardamine,Lepidium,Euphorbia,Erodium,Phacelia,Sisyrinchium,Sisyrinchium,Sisyrinchium,Solenomelus,Stachys,Adesmia,Adesmia,Adesmia,Adesmia,Adesmia,Adesmia,Anarthrophyllum,Astragalus,Astragalus,Lathyrus,Lupinus,Loasa,Loasa,Scypanthus,Malesherbia,Clarkia,Oenothera,Oxalis,Oxalis,Collomia,Calandrinia,Calandrinia,Barneoudia,Barneoudia,Acaena,Tetraglochin,Quinchamalium,Calceolaria,Calceolaria,Calceolaria,Calceolaria,Schizanthus,Schizanthus,Solanum,Salpiglossus,Tropaeolum,Tropaeolum,Tropaeolum,Asteriscium,Bowlesia,Mulinum,Sanicula,Valeriana,Verbena,Viola
,,plant_sp,pallida,uniflorum,ixioides,pauciflora,andinum,montana,bivalve,nivale,sessile,empetrifolia,montana,creticum,chiloensis,arvense,euphrasioides,microphylla,oppositifolia,chysanthemifolius,sericeus,sp.,landbeckii,sativa,acerosa,sinuata,subulata,lanatum,heterophylla,carthamoides,bustillosianus,erucaeformis,francisci,lithostaurus,nivalis,suffruticosum,portulacoides,cicutarium,secunda,arenarium,junceum,philippii,sisyrinchium,albicaulis,aconcaguensis,brachysemon,conferta,exilis,montana,radicifolia,cumingii,curvicaulis,sp.,subandinus,microcarpus,heterophylla,sigmoidea,elegans,linearifolius,tenella,acaulis,geminata,sp.2,biflora,affinis,uspallatensis,chilensis,major,pinnatifida,alatum,chilensis,arachnoides,biflora,montana,sp.,garhamii,hookeri,tomatillo,sp.,polyphyllum,sessilifolium,tricolor,aemocarpon,tropaeolifolia,spinosum,graveolens,gracileps,scoparia,atropurpurea
pol_ge,pol_sp,no.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
Alloscirtetica,rufitarsis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloscirtetica,gayi,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloscirtetica,sp.,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,1,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andinus,venustus,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthidium,chilensis,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Anthidium,decaspilum,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthidium,funereum,7,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Anthidium,gayi,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
